      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |      65535 | Rdr |10  F9  E0                                                               |  ok | ?
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |01  0B  3F  80  A1  78                                                   |  ok | ?
          0 |      65535 | Rdr |0C  14  3A                                                               |  ok | RESET
          0 |      65535 | Rdr |10  F9  E0                                                               |  ok | ?
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |01  0B  3F  80  A1  78                                                   |  ok | ?
          0 |      65535 | Rdr |10  F9  E0                                                               |  ok | ?
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |01  0B  3F  80  A1  78                                                   |  ok | ?
          0 |      65535 | Rdr |10  F9  E0                                                               |  ok | ?
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |01  0B  3F  80  A1  78                                                   |  ok | ?
          0 |      65535 | Rdr |10  F9  E0                                                               |  ok | ?
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |01  0B  3F  80  A1  78                                                   |  ok | ?
          0 |      65535 | Rdr |0C  14  3A                                                               |  ok | RESET
          0 |      65535 | Rdr |10  F9  E0                                                               |  ok | ?
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |01  0B  3F  80  A1  78                                                   |  ok | ?
          0 |      65535 | Rdr |10  F9  E0                                                               |  ok | ?
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
          0 |      65535 | Rdr |01  0B  3F  80  A1  78                                                   |  ok | ?
          0 |      65535 | Rdr |0C  14  3A                                                               |  ok | RESET
          0 |      65535 | Rdr |10  F9  E0                                                               |  ok | ?
          0 |      65535 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
          0 |      65535 | Tag |50  C3  F7  0B  F7  20  38  19  22  00  21  85  48  83                   |  ok |
		  
		  
		  
		  
		  ----------------------------------------------------------------------------------------------------------------------------------------------------
		  
    Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |       3072 | Rdr |10  F9  E0                                                               |  ok | ?
         64 |       3136 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
         64 |       3136 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
        128 |       3200 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
        128 |       3200 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
        192 |       3264 | Rdr |1D  C3  F7  0B  F7  00  08  01  00  6E  6A                               |  ok | ATTRIB
        256 |       3328 | Tag |00  78  F0                                                               |  ok |
        320 |       3392 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
        384 |       3456 | Tag |00  78  F0                                                               |  ok |
        832 |       3904 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
        832 |       3904 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
        896 |       3968 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
        896 |       3968 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
        960 |       4032 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
        960 |       4032 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
       1216 |       4288 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
       1216 |       4288 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
       1280 |       4352 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
       1280 |       4352 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
       1344 |       4416 | Rdr |1D  C3  F7  0B  F7  00  08  01  00  6E  6A                               |  ok | ATTRIB
       1408 |       4480 | Tag |00  78  F0                                                               |  ok |
       1472 |       4544 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
       1472 |       4544 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
       1536 |       4608 | Rdr |1D  C3  F7  0B  F7  00  08  01  00  6E  6A                               |  ok | ATTRIB
       1600 |       4672 | Tag |00  78  F0                                                               |  ok |
       1664 |       4736 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
