      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |       3084 | Rdr |0C  14  3A                                                               |  ok | RESET
      27612 |      30700 | Rdr |06  00  97  5B                                                           |  ok | INITIATE
     143648 |     146732 | Rdr |10  F9  E0                                                               |  ok | ?
    1036056 |    1039148 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
    1003788 |    1063180 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
    1098816 |    1101932 | Rdr |1D  C3  F7  0B  F7  00  08  01  00  6E  6A                               |  ok | ATTRIB
    1101452 |    1115788 | Tag |00  78  F0                                                               |  ok |
    1358208 |    1361356 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
    1357452 |    1379980 | Tag |02  6A  82  4B  4C                                                       |  ok |
    1426188 |    1429292 | Rdr |03  00  CA  7F  68  00  0F  7D                                           |  ok | ?
    1422220 |    1444748 | Tag |03  6B  00  55  A8                                                       |  ok |
    1504808 |    1507948 | Rdr |02  00  A4  04  00  09  A0  00  00  03  08  00  00  10  00  35  79       |  ok | ?
    1501452 |    1523980 | Tag |02  6A  82  4B  4C                                                       |  ok |
    1586184 |    1589324 | Rdr |03  00  A4  04  00  09  A0  00  00  03  97  42  54  46  59  D6  E2       |  ok | ?
    1582860 |    1605388 | Tag |03  6A  82  97  16                                                       |  ok |
    1669984 |    1673132 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
    1666700 |    1689228 | Tag |02  6A  82  4B  4C                                                       |  ok |
    1737132 |    1740236 | Rdr |03  00  CA  7F  68  00  0F  7D                                           |  ok | ?
    1733260 |    1755788 | Tag |03  6B  00  55  A8                                                       |  ok |
    1816616 |    1819756 | Rdr |02  00  A4  04  00  09  A0  00  00  03  08  00  00  10  00  35  79       |  ok | ?
    1813324 |    1835852 | Tag |02  6A  82  4B  4C                                                       |  ok |
    1897992 |    1901132 | Rdr |03  00  A4  04  00  09  A0  00  00  03  97  42  54  46  59  D6  E2       |  ok | ?
    2019264 |    2022412 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
    2015948 |    2038476 | Tag |02  6A  82  4B  4C                                                       |  ok |
    2086572 |    2089676 | Rdr |03  00  CA  7F  68  00  0F  7D                                           |  ok | ?
    2082636 |    2105164 | Tag |03  6B  00  55  A8                                                       |  ok |
    2166088 |    2169228 | Rdr |02  00  A4  04  00  09  A0  00  00  03  08  00  00  10  00  35  79       |  ok | ?
    2162764 |    2185292 | Tag |02  6A  82  4B  4C                                                       |  ok |
    2247240 |    2250380 | Rdr |03  00  A4  04  00  09  A0  00  00  03  97  42  54  46  59  D6  E2       |  ok | ?
    2307616 |    2310764 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
    2304396 |    2326924 | Tag |02  6A  82  4B  4C                                                       |  ok |
    2374540 |    2377644 | Rdr |03  00  CA  7F  68  00  0F  7D                                           |  ok | ?
    2370700 |    2393228 | Tag |03  6B  00  55  A8                                                       |  ok |
    2454184 |    2457324 | Rdr |02  00  A4  04  00  09  A0  00  00  03  08  00  00  10  00  35  79       |  ok | ?
    2450828 |    2473356 | Tag |02  6A  82  4B  4C                                                       |  ok |
    2535464 |    2538604 | Rdr |03  00  A4  04  00  09  A0  00  00  03  97  42  54  46  59  D6  E2       |  ok | ?
    2532236 |    2554764 | Tag |03  6A  82  97  16                                                       |  ok |
    2646432 |    2649580 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
    2643212 |    2665740 | Tag |02  6A  82  4B  4C                                                       |  ok |
    2713740 |    2716844 | Rdr |03  00  CA  7F  68  00  0F  7D                                           |  ok | ?
    2709772 |    2732300 | Tag |03  6B  00  55  A8                                                       |  ok |
    2793064 |    2796204 | Rdr |02  00  A4  04  00  09  A0  00  00  03  08  00  00  10  00  35  79       |  ok | ?
    2789772 |    2812300 | Tag |02  6A  82  4B  4C                                                       |  ok |
    2874376 |    2877516 | Rdr |03  00  A4  04  00  09  A0  00  00  03  97  42  54  46  59  D6  E2       |  ok | ?
    2871052 |    2893580 | Tag |03  6A  82  97  16                                                       |  ok |
    3587712 |    3590796 | Rdr |B2  E1  66                                                               |  ok | ?
    3588492 |    3602828 | Tag |A3  E9  67                                                               |  ok |
    4292896 |    4295980 | Rdr |B2  E1  66                                                               |  ok | ?
    4293580 |    4307916 | Tag |A3  E9  67                                                               |  ok |
    4998016 |    5001100 | Rdr |B2  E1  66                                                               |  ok | ?
    4998732 |    5013068 | Tag |A3  E9  67                                                               |  ok |
    5703104 |    5706188 | Rdr |B2  E1  66                                                               |  ok | ?
    5703820 |    5718156 | Tag |A3  E9  67                                                               |  ok |
    6408128 |    6411212 | Rdr |B2  E1  66                                                               |  ok | ?
    6408844 |    6423180 | Tag |A3  E9  67                                                               |  ok |
    7113216 |    7116300 | Rdr |B2  E1  66                                                               |  ok | ?
    7113996 |    7128332 | Tag |A3  E9  67                                                               |  ok |
    7818400 |    7821484 | Rdr |B2  E1  66                                                               |  ok | ?
    7819084 |    7833420 | Tag |A3  E9  67                                                               |  ok |
    8523680 |    8526764 | Rdr |B2  E1  66                                                               |  ok | ?
    8524364 |    8538700 | Tag |A3  E9  67                                                               |  ok |
    9228640 |    9231724 | Rdr |B2  E1  66                                                               |  ok | ?
    9229324 |    9243660 | Tag |A3  E9  67                                                               |  ok |
    9933760 |    9936844 | Rdr |B2  E1  66                                                               |  ok | ?
