   33883640 |   33886732 | Rdr |05  00  08  39  73                                                       |  ok | WUPB
   33851564 |   33910956 | Tag |50  C3  F7  0B  F7  00  00  00  00  00  71  71  1E  37                   |  ok |
   33946368 |   33949484 | Rdr |1D  C3  F7  0B  F7  00  08  01  00  6E  6A                               |  ok | ATTRIB
   33949228 |   33963564 | Tag |00  78  F0                                                               |  ok |
   34097376 |   34100524 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
   34096940 |   34119468 | Tag |02  6A  82  4B  4C                                                       |  ok |
   34164684 |   34167788 | Rdr |03  00  CA  7F  68  00  0F  7D                                           |  ok | ?
   34160940 |   34183468 | Tag |03  6B  00  55  A8                                                       |  ok |
   34244296 |   34247436 | Rdr |02  00  A4  04  00  09  A0  00  00  03  08  00  00  10  00  35  79       |  ok | ?
   34241196 |   34263724 | Tag |02  6A  82  4B  4C                                                       |  ok |
   34325320 |   34328460 | Rdr |03  00  A4  04  00  09  A0  00  00  03  97  42  54  46  59  D6  E2       |  ok | ?
   34322220 |   34344748 | Tag |03  6A  82  97  16                                                       |  ok |
   34395712 |   34398860 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
   34392748 |   34415276 | Tag |02  6A  82  4B  4C                                                       |  ok |
   34462764 |   34465868 | Rdr |03  00  CA  7F  68  00  0F  7D                                           |  ok | ?
   34459052 |   34481580 | Tag |03  6B  00  55  A8                                                       |  ok |
   34542376 |   34545516 | Rdr |02  00  A4  04  00  09  A0  00  00  03  08  00  00  10  00  35  79       |  ok | ?
   34539308 |   34561836 | Tag |02  6A  82  4B  4C                                                       |  ok |
   34623656 |   34626796 | Rdr |03  00  A4  04  00  09  A0  00  00  03  97  42  54  46  59  D6  E2       |  ok | ?
   34695584 |   34698732 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
   34692460 |   34714988 | Tag |02  6A  82  4B  4C                                                       |  ok |
   34762604 |   34765708 | Rdr |03  00  CA  7F  68  00  0F  7D                                           |  ok | ?
   34758828 |   34781356 | Tag |03  6B  00  55  A8                                                       |  ok |
   34842248 |   34845388 | Rdr |02  00  A4  04  00  09  A0  00  00  03  08  00  00  10  00  35  79       |  ok | ?
   34839212 |   34861740 | Tag |02  6A  82  4B  4C                                                       |  ok |
   34909992 |   34913132 | Rdr |03  00  A4  04  00  09  A0  00  00  03  97  42  54  46  59  D6  E2       |  ok | ?
   34906860 |   34929388 | Tag |03  6A  82  97  16                                                       |  ok |
   34993824 |   34996972 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
   34990700 |   35013228 | Tag |02  6A  82  4B  4C                                                       |  ok |
   35061228 |   35064332 | Rdr |03  00  CA  7F  68  00  0F  7D                                           |  ok | ?
   35057388 |   35079916 | Tag |03  6B  00  55  A8                                                       |  ok |
   35140840 |   35143980 | Rdr |02  00  A4  04  00  09  A0  00  00  03  08  00  00  10  00  35  79       |  ok | ?
   35179052 |   35201580 | Tag |03  6A  82  97  16                                                       |  ok |
   35279776 |   35282924 | Rdr |02  00  A4  04  00  0B  A0  00  00  03  97  43  49  44  5F  01  00  6C   |     |
            |            |     |E8                                                                       |  ok | ?
   35276716 |   35299244 | Tag |02  6A  82  4B  4C                                                       |  ok |
   35346700 |   35349804 | Rdr |03  00  CA  7F  68  00  0F  7D                                           |  ok | ?
   35342892 |   35365420 | Tag |03  6B  00  55  A8                                                       |  ok |
   35426312 |   35429452 | Rdr |02  00  A4  04  00  09  A0  00  00  03  08  00  00  10  00  35  79       |  ok | ?
   35423148 |   35445676 | Tag |02  6A  82  4B  4C                                                       |  ok |
   35507592 |   35510732 | Rdr |03  00  A4  04  00  09  A0  00  00  03  97  42  54  46  59  D6  E2       |  ok | ?
   35504428 |   35526956 | Tag |03  6A  82  97  16                                                       |  ok |
   35838816 |   35841932 | Rdr |02  94  A4  00  00  02  20  00  00  FC  1C                               |  ok | ?
   35765804 |   35831339 | Tag |02  85  17  00  02  00  00  00  12  12  00  00  01  03  01  01  00  15   |     |
            |            |     |15  15  00  00  00  00  00  00  90  00  FA  62                           |  ok |
   36110080 |   36113196 | Rdr |03  94  A4  00  00  02  3F  04  00  33  F9                               |  ok |  AID 3F04
   36036908 |   36102443 | Tag |03  85  17  04  04  02  10  01  1F  12  00  00  01  01  01  01  00  00   |     |  ATS
            |            |     |00  00  00  00  00  00  00  00  10  00  48  10                           |  !! | 
   36377260 |   36380364 | Rdr |02  94  B2  01  04  1D  EE  42                                           |  ok | ?
   36328876 |   36394411 | Tag |02  33  4D  54  52  2E  49  43  41  00  00  00  00  00  00  00  00  90   |     | Record 1
            |            |     |00  4E  5E                                                               |  ok |
   36634860 |   36637964 | Rdr |03  94  B2  02  04  1D  A1  A9                                           |  ok | ?
   36631212 |   36653740 | Tag |03  6A  83  1E  07                                                       |  ok |
   36842208 |   36845324 | Rdr |02  94  A4  00  00  02  00  02  00  77  2C                               |  ok | ICC 0002
   36769516 |   36835051 | Tag |02  85  17  02  04  02  1D  01  1F  00  00  00  01  01  01  01  00  00   |     | ATS
            |            |     |00  00  00  00  00  00  00  00  90  00  77  25                           |  ok |
   37082380 |   37085484 | Rdr |03  94  B2  01  04  1D  C5  46                                           |  ok | ?
   36997484 |   37063019 | Tag |03  00  00  00  00  00  00  00  04  00  71  00  42  00  00  00  00  C3   |     | Record ICC
            |            |     |F7  0B  F7  02  50  14  00  01  2C  A7  3A  00  90  00  AF  4E           |  ok |
   37326380 |   37329484 | Rdr |02  94  B2  02  04  1D  8A  AD                                           |  ok | ?
   37322732 |   37345260 | Tag |02  6A  83  C2  5D                                                       |  ok |
   37533856 |   37536972 | Rdr |03  94  A4  00  00  02  00  03  00  52  78                               |  ok | ID 0003
   37461228 |   37526763 | Tag |03  85  17  03  04  02  1D  01  01  12  00  00  01  02  01  01  00  00   |     | ATS
            |            |     |00  00  00  00  00  00  00  00  90  00  5B  E1                           |  ok |
   37773900 |   37777004 | Rdr |02  94  B2  01  04  1D  EE  42                                           |  ok | ?
   37770220 |   37792748 | Tag |02  69  82  23  66                                                       |  ok |
   37995008 |   37998124 | Rdr |03  94  A4  00  00  02  3F  1C  00  62  A2                               |  ok | ?
   37993068 |   38015596 | Tag |03  6A  82  97  16                                                       |  ok |
   38198176 |   38201292 | Rdr |02  94  A4  00  00  02  2F  10  00  AA  C3                               |  ok | Display/Free 2F10
   38125548 |   38191083 | Tag |02  85  17  05  04  02  1D  02  1F  1F  1F  00  01  01  01  01  00  00   |     | ATS
            |            |     |00  00  00  00  00  00  00  00  90  00  3C  B4                           |  ok |
   38451948 |   38455052 | Rdr |03  94  B2  01  04  1D  C5  46                                           |  ok | ?
   38367084 |   38432619 | Tag |03  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00   |     | Record 1
            |            |     |00  00  00  00  00  00  00  00  00  00  00  00  90  00  8B  4D           |  ok |
   38696012 |   38699116 | Rdr |02  94  B2  02  04  1D  8A  AD                                           |  ok | ?
   38611116 |   38676651 | Tag |02  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00   |     | Record 2
            |            |     |00  00  00  00  00  00  00  00  00  00  00  00  90  00  E9  3A           |  ok |
   38940108 |   38943212 | Rdr |03  94  B2  03  04  1D  7D  F3                                           |  ok | ?
   38936492 |   38959020 | Tag |03  6A  83  1E  07                                                       |  ok |
   39133824 |   39136940 | Rdr |02  94  A4  00  00  02  20  00  00  FC  1C                               |  ok |Ticketing 2000 Folder
   39060908 |   39126443 | Tag |02  85  17  00  02  00  00  00  12  12  00  00  01  03  01  01  00  15   |     | ATS
            |            |     |15  15  00  00  00  00  00  00  90  00  FA  62                           |  ok |
   39377952 |   39381068 | Rdr |03  94  A4  00  00  02  20  04  00  61  36                               |  ok | AID 2000/ 2004
   39304620 |   39370155 | Tag |03  85  17  04  04  02  10  01  1F  12  00  00  01  01  01  01  00  00   |     | ATS
            |            |     |00  00  00  00  00  00  00  00  90  00  4F  DE                           |  ok |
   39618476 |   39621580 | Rdr |02  94  B2  01  04  1D  EE  42                                           |  ok | ?
   39569964 |   39635499 | Tag |02  A0  00  00  04  04  01  25  09  01  01  00  00  00  00  00  00  90   |     | Record 1
            |            |     |00  33  DA                                                               |  ok |
   39835020 |   39838124 | Rdr |03  94  B2  02  04  1D  A1  A9                                           |  ok | ?
   39831340 |   39853868 | Tag |03  6A  83  1E  07                                                       |  ok |
   40028832 |   40031948 | Rdr |02  94  A4  00  00  02  20  01  00  24  05                               |  ok | Environment 2000/2001 
   39957164 |   40022699 | Tag |02  85  17  07  04  02  1D  01  1F  12  00  00  01  01  01  01  00  00   |     | ATS
            |            |     |00  00  00  00  00  00  00  00  90  00  6A  62                           |  ok |
   40269228 |   40272332 | Rdr |03  94  B2  01  04  1D  C5  46                                           |  ok | ?
   40184364 |   40249899 | Tag |03  24  B9  28  48  08  06  3B  10  B4  70  00  13  C2  80  00  00  00   |     |Record
            |            |     |00  00  00  00  00  00  00  00  00  00  00  00  90  00  E1  7B           |  ok |
   40513164 |   40516268 | Rdr |02  94  B2  02  04  1D  8A  AD                                           |  ok | ?
   40509548 |   40532076 | Tag |02  6A  83  C2  5D                                                       |  ok |
   40720384 |   40723500 | Rdr |03  94  A4  00  00  02  20  02  00  B1  62                               |  ok | ?
   40720236 |   40742764 | Tag |03  6A  82  97  16                                                       |  ok |
   40923744 |   40926860 | Rdr |02  94  A4  00  00  02  20  10  00  6D  89                               |  ok | Event log
   40866284 |   40931819 | Tag |02  85  17  08  04  04  1D  03  1F  12  12  12  01  03  03  03  00  00   |     | ATS
            |            |     |00  00  00  00  00  00  00                                               |  !! |
   41163916 |   41167020 | Rdr |03  94  B2  01  04  1D  C5  46                                           |  ok | ?
   41079020 |   41144555 | Tag |03  9C  0D  0E  90  03  68  A0  8F  08  29  60  25  F3  38  A7  08  00   |     |Record 1
            |            |     |E8  30  40  00  30  80  00  40  00  00  00  00  90  00  8E  0D           |  ok |
   41408108 |   41411212 | Rdr |02  94  B2  02  04  1D  8A  AD                                           |  ok | ?
   41323244 |   41388779 | Tag |02  9C  0D  09  90  00  38  A2  90  14  15  8D  93  E0  48  40  00  00   |     | Record 2
            |            |     |00  00  00  00  00  00  00  00  00  00  00  00  90  00  24  25           |  ok |
   41652044 |   41655148 | Rdr |03  94  B2  03  04  1D  7D  F3                                           |  ok | ?
   41567084 |   41632619 | Tag |03  9C  0D  03  90  00  68  A2  88  19  23  08  8A  10  00  90  40  00   |     | Record 3
            |            |     |00  00  00  00  00  00  00  00  00  00  00  00  90  00  92  4B           |  ok |
   41882476 |   41885580 | Rdr |02  94  B2  04  04  1D  53  7B                                           |  ok | ?
   41878892 |   41901420 | Tag |02  6A  83  C2  5D                                                       |  ok |
   42076320 |   42079436 | Rdr |03  94  A4  00  00  02  20  20  00  32  72                               |  ok |Contracts 2000/2020 
   42004716 |   42070251 | Tag |03  85  17  09  04  02  1D  04  1F  12  12  00  01  02  03  01  00  00   |     | ATS
            |            |     |00  00  00  00  00  00  00  00  10  00  10  54                           |  !! |
   42303116 |   42306220 | Rdr |02  94  B2  01  04  1D  EE  42                                           |  ok | ?
   42251948 |   42317483 | Tag |02  5A  00  E0  00  00  51  3E  84  43  12  2C  D0  B3  F9  0F  EC  D0   |     |Record 1
            |            |     |C0  6D  99  00                                                           |  !! |
   42533420 |   42536524 | Rdr |03  94  B2  02  04  1D  A1  A9                                           |  ok | ?
   42564972 |   42583404 | Tag |00  00  00  00                                                           |  !! | Record 2
   42750604 |   42753708 | Rdr |02  94  B2  03  04  1D  56  F7                                           |  ok | ?
   42926060 |   42929164 | Rdr |03  94  B2  04  04  1D  78  7F                                           |  ok | ?
   42841132 |   42906667 | Tag |03  00  00  0F  FF  FF  FF  FF  FF  FF  FF  FF  FF  FF  FF  FF  FF  FF   |     |Record 3
            |            |     |FF  FF  FF  FF  FF  FF  FF  FF  FF  FF  FF  FF  90  00  83  0E           |  ok |
   43142988 |   43146092 | Rdr |02  94  B2  05  04  1D  8F  21                                           |  ok | ?
   43139372 |   43161900 | Tag |02  6A  83  C2  5D                                                       |  ok |
   43323296 |   43326412 | Rdr |03  94  A4  00  00  02  20  30  00  A3  E7                               |  ok | Contracts 2000/2030
   43251628 |   43317163 | Tag |03  85  17  06  04  02  1D  04  1F  12  12  00  01  02  03  01  00  00   |     | ATS
            |            |     |00  00  00  00  00  00  00  00  90  00  29  68                           |  ok |
